"Date","Symbol","Open","High","Low","Close","Previous Close","Volume","Turnover","VWAP","Change","Change%"
"2025-12-31","RELIANCE","1541.0","1577.0","1541.0","1570.4000244140625","1539.800048828125","5771830","0.0","0.0","30.60","1.99"
"2026-01-01","RELIANCE","1573.699951171875","1592.5","1571.0999755859375","1575.5999755859375","1570.4000244140625","6408128","0.0","0.0","5.20","0.33"
"2026-01-02","RELIANCE","1580.0","1594.5999755859375","1578.199951171875","1592.300048828125","1575.5999755859375","6602230","0.0","0.0","16.70","1.06"
"2026-01-05","RELIANCE","1593.0","1611.800048828125","1575.300048828125","1578.0999755859375","1592.300048828125","8704973","0.0","0.0","-14.20","-0.89"
"2026-01-06","RELIANCE","1569.0","1569.0","1496.300048828125","1507.5999755859375","1578.0999755859375","27417125","0.0","0.0","-70.50","-4.47"
"2026-01-07","RELIANCE","1510.0","1520.0","1498.0","1504.199951171875","1507.5999755859375","11199340","0.0","0.0","-3.40","-0.23"
"2026-01-08","RELIANCE","1500.0","1503.9000244140625","1468.800048828125","1470.5999755859375","1504.199951171875","16518684","0.0","0.0","-33.60","-2.23"
"2026-01-09","RELIANCE","1465.0","1479.9000244140625","1465.0","1475.300048828125","1470.5999755859375","8335311","0.0","0.0","4.70","0.32"
"2026-01-12","RELIANCE","1475.300048828125","1485.300048828125","1451.0","1483.199951171875","1475.300048828125","8883745","0.0","0.0","7.90","0.54"
"2026-01-13","RELIANCE","1485.0","1485.800048828125","1444.699951171875","1452.800048828125","1483.199951171875","13499760","0.0","0.0","-30.40","-2.05"
"2026-01-14","RELIANCE","1444.0","1467.0","1440.199951171875","1458.800048828125","1452.800048828125","8321764","0.0","0.0","6.00","0.41"
"2026-01-15","RELIANCE","1458.800048828125","1458.800048828125","1458.800048828125","1458.800048828125","1458.800048828125","0","0.0","0.0","0.00","0.00"
"2026-01-16","RELIANCE","1458.800048828125","1480.0","1455.0999755859375","1457.9000244140625","1458.800048828125","17167161","0.0","0.0","-0.90","-0.06"
"2026-01-19","RELIANCE","1450.5999755859375","1450.5999755859375","1403.300048828125","1413.5999755859375","1457.9000244140625","20392765","0.0","0.0","-44.30","-3.04"
"2026-01-20","RELIANCE","1410.699951171875","1416.0","1390.0","1394.0","1413.5999755859375","13189498","0.0","0.0","-19.60","-1.39"
"2026-01-21","RELIANCE","1389.5","1412.9000244140625","1373.0","1404.5999755859375","1394.0","17352720","0.0","0.0","10.60","0.76"
